Songnum	Nation	Songtype	Language	Title	Singer		
#10145	#2	#8	#2	#Across The Universe	#Beatles, The	#N:\Custom HD787\Across The Universe - Beatles, The.mp3	#N:\Custom HD787\Across The Universe - Beatles, The.cdg
#10146	#2	#8	#2	#Act A Fool	#Ludacris	#N:\Custom HD787\Act A Fool - Ludacris.mp3	#N:\Custom HD787\Act A Fool - Ludacris.cdg
#10147	#2	#8	#2	#Act Naturally	#Beatles, The	#N:\Custom HD787\Act Naturally - Beatles, The.mp3	#N:\Custom HD787\Act Naturally - Beatles, The.cdg
#10148	#2	#8	#2	#Act Naturally	#Owens, Buck	#N:\Custom HD787\Act Naturally - Owens, Buck.mp3	#N:\Custom HD787\Act Naturally - Owens, Buck.cdg
#10149	#2	#8	#2	#Action Man	#Huld, Hafdis	#N:\Custom HD787\Action Man - Huld, Hafdis.mp3	#N:\Custom HD787\Action Man - Huld, Hafdis.cdg
#10150	#2	#8	#2	#Adalida	#Strait, George	#N:\Custom HD787\Adalida - Strait, George.mp3	#N:\Custom HD787\Adalida - Strait, George.cdg
#10151	#2	#8	#2	#Adam & Evil	#Presley, Elvis	#N:\Custom HD787\Adam & Evil - Presley, Elvis.mp3	#N:\Custom HD787\Adam & Evil - Presley, Elvis.cdg
#10152	#2	#8	#2	#Adam's Side	#(Spiritual) Walker, Billy	#N:\Custom HD787\Adam's Side - (Spiritual) Walker, Billy.mp3	#N:\Custom HD787\Adam's Side - (Spiritual) Walker, Billy.cdg
#10153	#2	#8	#2	#Adam's Song	#Blink 182	#N:\Custom HD787\Adam's Song - Blink 182.mp3	#N:\Custom HD787\Adam's Song - Blink 182.cdg
#10154	#2	#8	#2	#Addam's Family, The	#(TV Tunes)	#N:\Custom HD787\Addam's Family, The - (TV Tunes).mp3	#N:\Custom HD787\Addam's Family, The - (TV Tunes).cdg
#10155	#2	#8	#2	#Addams Groove	#Hammer	#N:\Custom HD787\Addams Groove - Hammer.mp3	#N:\Custom HD787\Addams Groove - Hammer.cdg
#10156	#2	#8	#2	#Addicted	#Iglesias, Enrique	#N:\Custom HD787\Addicted - Iglesias, Enrique.mp3	#N:\Custom HD787\Addicted - Iglesias, Enrique.cdg
#10157	#2	#8	#2	#Addicted	#Saving Abel	#N:\Custom HD787\Addicted - Saving Abel.mp3	#N:\Custom HD787\Addicted - Saving Abel.cdg
#10158	#2	#8	#2	#Addicted	#Simple Plan	#N:\Custom HD787\Addicted - Simple Plan.mp3	#N:\Custom HD787\Addicted - Simple Plan.cdg
#10159	#2	#8	#2	#Addicted	#Winehouse, Amy	#N:\Custom HD787\Addicted - Winehouse, Amy.mp3	#N:\Custom HD787\Addicted - Winehouse, Amy.cdg
#10160	#2	#8	#2	#Addicted To A Dollar	#Stone, Doug	#N:\Custom HD787\Addicted To A Dollar - Stone, Doug.mp3	#N:\Custom HD787\Addicted To A Dollar - Stone, Doug.cdg
#10161	#2	#8	#2	#Addicted To Jesus	#(Spiritual) Carman	#N:\Custom HD787\Addicted To Jesus - (Spiritual) Carman.mp3	#N:\Custom HD787\Addicted To Jesus - (Spiritual) Carman.cdg
#10162	#2	#8	#2	#Addicted To Love	#Palmer, Robert	#N:\Custom HD787\Addicted To Love - Palmer, Robert.mp3	#N:\Custom HD787\Addicted To Love - Palmer, Robert.cdg
#10163	#2	#8	#2	#Addicted To Spuds	#Yankovic, Weird Al	#N:\Custom HD787\Addicted To Spuds - Yankovic, Weird Al.mp3	#N:\Custom HD787\Addicted To Spuds - Yankovic, Weird Al.cdg
#10164	#2	#8	#2	#Addicted To You	#Madame Mayhem	#N:\Custom HD787\Addicted To You - Madame Mayhem.mp3	#N:\Custom HD787\Addicted To You - Madame Mayhem.cdg
#10165	#2	#8	#2	#Addiction	#Leslie, Ryan & Cassie & Fabolous	#N:\Custom HD787\Addiction - Leslie, Ryan & Cassie & Fabolous.mp3	#N:\Custom HD787\Addiction - Leslie, Ryan & Cassie & Fabolous.cdg
#10166	#2	#8	#2	#Addictive	#Truth Hurts & Rakim	#N:\Custom HD787\Addictive - Truth Hurts & Rakim.mp3	#N:\Custom HD787\Addictive - Truth Hurts & Rakim.cdg
#10167	#2	#8	#2	#Addictive Love	#(Spiritual) DuetsWinans, BeBe & CeCe	#N:\Custom HD787\Addictive Love - (Spiritual) DuetsWinans, BeBe & CeCe.mp3	#N:\Custom HD787\Addictive Love - (Spiritual) DuetsWinans, BeBe & CeCe.cdg
#10168	#2	#8	#2	#Adia	#McLachlan, Sarah	#N:\Custom HD787\Adia - McLachlan, Sarah.mp3	#N:\Custom HD787\Adia - McLachlan, Sarah.cdg
#10169	#2	#8	#2	#Adore	#(Spiritual) Tomlin, Chris & Lauren Daigle	#N:\Custom HD787\Adore - (Spiritual) Tomlin, Chris & Lauren Daigle.mp3	#N:\Custom HD787\Adore - (Spiritual) Tomlin, Chris & Lauren Daigle.cdg
#10170	#2	#8	#2	#Adore	#(Spiritual) Velasquez, Jaci	#N:\Custom HD787\Adore - (Spiritual) Velasquez, Jaci.mp3	#N:\Custom HD787\Adore - (Spiritual) Velasquez, Jaci.cdg
#10171	#2	#8	#2	#Adore You	#Cyrus, Miley	#N:\Custom HD787\Adore You - Cyrus, Miley.mp3	#N:\Custom HD787\Adore You - Cyrus, Miley.cdg
#10172	#2	#8	#2	#Adorn	#Miguel	#N:\Custom HD787\Adorn - Miguel.mp3	#N:\Custom HD787\Adorn - Miguel.cdg
#10173	#2	#8	#2	#Adriana	#Headstrong	#N:\Custom HD787\Adriana - Headstrong.mp3	#N:\Custom HD787\Adriana - Headstrong.cdg
#10174	#2	#8	#2	#Adrienne	#Calling, The	#N:\Custom HD787\Adrienne - Calling, The.mp3	#N:\Custom HD787\Adrienne - Calling, The.cdg
#10175	#2	#8	#2	#Adventure Of A Lifetime	#Coldplay	#N:\Custom HD787\Adventure Of A Lifetime - Coldplay.mp3	#N:\Custom HD787\Adventure Of A Lifetime - Coldplay.cdg
#10176	#2	#8	#2	#Adventure, The	#Angels & Airwaves	#N:\Custom HD787\Adventure, The - Angels & Airwaves.mp3	#N:\Custom HD787\Adventure, The - Angels & Airwaves.cdg
#10177	#2	#8	#2	#Advice	#Kehlani	#N:\Custom HD787\Advice - Kehlani.mp3	#N:\Custom HD787\Advice - Kehlani.cdg
#10178	#2	#8	#2	#Aerials	#System Of A Down	#N:\Custom HD787\Aerials - System Of A Down.mp3	#N:\Custom HD787\Aerials - System Of A Down.cdg
#10179	#2	#8	#2	#Affirmation	#Savage Garden	#N:\Custom HD787\Affirmation - Savage Garden.mp3	#N:\Custom HD787\Affirmation - Savage Garden.cdg
#10180	#2	#8	#2	#Africa	#Toto	#N:\Custom HD787\Africa - Toto.mp3	#N:\Custom HD787\Africa - Toto.cdg
#10181	#2	#8	#2	#After A Kiss	#Tillis, Pam	#N:\Custom HD787\After A Kiss - Tillis, Pam.mp3	#N:\Custom HD787\After A Kiss - Tillis, Pam.cdg
#10182	#2	#8	#2	#After All	#(Duet) Cetera, Peter & Cher	#N:\Custom HD787\After All - (Duet) Cetera, Peter & Cher.mp3	#N:\Custom HD787\After All - (Duet) Cetera, Peter & Cher.cdg
#10183	#2	#8	#2	#After All	#James, Brett	#N:\Custom HD787\After All - James, Brett.mp3	#N:\Custom HD787\After All - James, Brett.cdg
#10184	#2	#8	#2	#After All	#Jarreau, Al	#N:\Custom HD787\After All - Jarreau, Al.mp3	#N:\Custom HD787\After All - Jarreau, Al.cdg
#10185	#2	#8	#2	#After All These Years	#Brickman, Jim & Anne Cochran	#N:\Custom HD787\After All These Years - Brickman, Jim & Anne Cochran.mp3	#N:\Custom HD787\After All These Years - Brickman, Jim & Anne Cochran.cdg
#10186	#2	#8	#2	#After All These Years	#Carter, Nathan	#N:\Custom HD787\After All These Years - Carter, Nathan.mp3	#N:\Custom HD787\After All These Years - Carter, Nathan.cdg
#10187	#2	#8	#2	#After Closing Time	#(Duet) Mandrell, Barbara & David Houston	#N:\Custom HD787\After Closing Time - (Duet) Mandrell, Barbara & David Houston.mp3	#N:\Custom HD787\After Closing Time - (Duet) Mandrell, Barbara & David Houston.cdg
#10188	#2	#8	#2	#After Loving You	#Presley, Elvis	#N:\Custom HD787\After Loving You - Presley, Elvis.mp3	#N:\Custom HD787\After Loving You - Presley, Elvis.cdg
#10189	#2	#8	#2	#After Party	#Rye Rye	#N:\Custom HD787\After Party - Rye Rye.mp3	#N:\Custom HD787\After Party - Rye Rye.cdg
#10190	#2	#8	#2	#After The Afterparty	#Charli XCX & Lil Yachty	#N:\Custom HD787\After The Afterparty - Charli XCX & Lil Yachty.mp3	#N:\Custom HD787\After The Afterparty - Charli XCX & Lil Yachty.cdg
#10191	#2	#8	#2	#After The Fire Is Gone	#(Duet) Twitty, Conway & Loretta Lynn	#N:\Custom HD787\After The Fire Is Gone - (Duet) Twitty, Conway & Loretta Lynn.mp3	#N:\Custom HD787\After The Fire Is Gone - (Duet) Twitty, Conway & Loretta Lynn.cdg
#10192	#2	#8	#2	#After The Laughter	#Big Wood	#N:\Custom HD787\After The Laughter - Big Wood.mp3	#N:\Custom HD787\After The Laughter - Big Wood.cdg
#10193	#2	#8	#2	#After The Love	#McKnight, Brian	#N:\Custom HD787\After The Love - McKnight, Brian.mp3	#N:\Custom HD787\After The Love - McKnight, Brian.cdg
#10194	#2	#8	#2	#After The Love Has Gone	#Earth, Wind & Fire	#N:\Custom HD787\After The Love Has Gone - Earth, Wind & Fire.mp3	#N:\Custom HD787\After The Love Has Gone - Earth, Wind & Fire.cdg
#10195	#2	#8	#2	#After The Lovin'	#Humperdinck, Engelbert	#N:\Custom HD787\After The Lovin' - Humperdinck, Engelbert.mp3	#N:\Custom HD787\After The Lovin' - Humperdinck, Engelbert.cdg
#10196	#2	#8	#2	#After The Rain Has Fallen	#Sting	#N:\Custom HD787\After The Rain Has Fallen - Sting.mp3	#N:\Custom HD787\After The Rain Has Fallen - Sting.cdg
#10197	#2	#8	#2	#After The Storm Blows Through	#Maddie & Tae	#N:\Custom HD787\After The Storm Blows Through - Maddie & Tae.mp3	#N:\Custom HD787\After The Storm Blows Through - Maddie & Tae.cdg
#10198	#2	#8	#2	#After The Thrill Is Gone	#Eagles, The	#N:\Custom HD787\After The Thrill Is Gone - Eagles, The.mp3	#N:\Custom HD787\After The Thrill Is Gone - Eagles, The.cdg
#10199	#2	#8	#2	#After This	#(Spiritual) Youthful Praise	#N:\Custom HD787\After This - (Spiritual) Youthful Praise.mp3	#N:\Custom HD787\After This - (Spiritual) Youthful Praise.cdg
#10200	#2	#8	#2	#After We Make Love	#Houston, Whitney	#N:\Custom HD787\After We Make Love - Houston, Whitney.mp3	#N:\Custom HD787\After We Make Love - Houston, Whitney.cdg
#10201	#2	#8	#2	#After You've Gone	#Sinatra, Frank	#N:\Custom HD787\After You've Gone - Sinatra, Frank.mp3	#N:\Custom HD787\After You've Gone - Sinatra, Frank.cdg
#10202	#2	#8	#2	#Aftermath	#R.E.M.	#N:\Custom HD787\Aftermath - R.E.M..mp3	#N:\Custom HD787\Aftermath - R.E.M..cdg
#10203	#2	#8	#2	#Afternoon Delight	#Starland Vocal Band, The	#N:\Custom HD787\Afternoon Delight - Starland Vocal Band, The.mp3	#N:\Custom HD787\Afternoon Delight - Starland Vocal Band, The.cdg
#10204	#2	#8	#2	#Afternoons & Coffeespoons	#Crash Test Dummies	#N:\Custom HD787\Afternoons & Coffeespoons - Crash Test Dummies.mp3	#N:\Custom HD787\Afternoons & Coffeespoons - Crash Test Dummies.cdg
#10205	#2	#8	#2	#Agadoo	#Black Lace	#N:\Custom HD787\Agadoo - Black Lace.mp3	#N:\Custom HD787\Agadoo - Black Lace.cdg
#10206	#2	#8	#2	#Again	#Evans, Faith	#N:\Custom HD787\Again - Evans, Faith.mp3	#N:\Custom HD787\Again - Evans, Faith.cdg
#10207	#2	#8	#2	#Again	#Jackson, Janet	#N:\Custom HD787\Again - Jackson, Janet.mp3	#N:\Custom HD787\Again - Jackson, Janet.cdg
#10208	#2	#8	#2	#Again	#Kravitz, Lenny	#N:\Custom HD787\Again - Kravitz, Lenny.mp3	#N:\Custom HD787\Again - Kravitz, Lenny.cdg
#10209	#2	#8	#2	#Against All Odds	#Carey, Mariah	#N:\Custom HD787\Against All Odds - Carey, Mariah.mp3	#N:\Custom HD787\Against All Odds - Carey, Mariah.cdg
#10210	#2	#8	#2	#Against All Odds	#Collins, Phil	#N:\Custom HD787\Against All Odds - Collins, Phil.mp3	#N:\Custom HD787\Against All Odds - Collins, Phil.cdg
#10211	#2	#8	#2	#Against The Grain	#Brooks, Garth	#N:\Custom HD787\Against The Grain - Brooks, Garth.mp3	#N:\Custom HD787\Against The Grain - Brooks, Garth.cdg
#10212	#2	#8	#2	#Against The Wind	#Brooks & Dunn	#N:\Custom HD787\Against The Wind - Brooks & Dunn.mp3	#N:\Custom HD787\Against The Wind - Brooks & Dunn.cdg
#10213	#2	#8	#2	#Agnus Dei	#(Spiritual) Smith, Michael W.	#N:\Custom HD787\Agnus Dei - (Spiritual) Smith, Michael W..mp3	#N:\Custom HD787\Agnus Dei - (Spiritual) Smith, Michael W..cdg
#10214	#2	#8	#2	#Agnus Dei	#Smith, Michael W.	#N:\Custom HD787\Agnus Dei - Smith, Michael W..mp3	#N:\Custom HD787\Agnus Dei - Smith, Michael W..cdg
#10215	#2	#8	#2	#Agnus Dei	#Worthy - (Spiritual) Third Day	#N:\Custom HD787\Agnus Dei-Worthy - (Spiritual) Third Day.mp3	#N:\Custom HD787\Agnus Dei-Worthy - (Spiritual) Third Day.cdg
#10216	#2	#8	#2	#Agony	#Faith, Paloma	#N:\Custom HD787\Agony - Faith, Paloma.mp3	#N:\Custom HD787\Agony - Faith, Paloma.cdg
#10217	#2	#8	#2	#Ah, Lord God	#(Spiritual)	#N:\Custom HD787\Ah, Lord God - (Spiritual).mp3	#N:\Custom HD787\Ah, Lord God - (Spiritual).cdg
#10218	#2	#8	#2	#Ahab The Arab	#Stevens, Ray	#N:\Custom HD787\Ahab The Arab - Stevens, Ray.mp3	#N:\Custom HD787\Ahab The Arab - Stevens, Ray.cdg
#10219	#2	#8	#2	#Ahh	#Ciara & J. Hood	#N:\Custom HD787\Ahh - Ciara & J. Hood.mp3	#N:\Custom HD787\Ahh - Ciara & J. Hood.cdg
#10220	#2	#8	#2	#Ain?t Nobody (Loves Me Better)	#Jaehn, Felix & Jasmine Thompson	#N:\Custom HD787\Ain?t Nobody (Loves Me Better) - Jaehn, Felix & Jasmine Thompson.mp3	#N:\Custom HD787\Ain?t Nobody (Loves Me Better) - Jaehn, Felix & Jasmine Thompson.cdg
#10221	#2	#8	#2	#Ain't Giving Up	#David Craig & Sigala	#N:\Custom HD787\Ain't Giving Up - David Craig & Sigala.mp3	#N:\Custom HD787\Ain't Giving Up - David Craig & Sigala.cdg
#10222	#2	#8	#2	#Ain't Goin' Down	#Brooks, Garth	#N:\Custom HD787\Ain't Goin' Down - Brooks, Garth.mp3	#N:\Custom HD787\Ain't Goin' Down - Brooks, Garth.cdg
#10223	#2	#8	#2	#Ain't Gon' Beg You	#Fantasia	#N:\Custom HD787\Ain't Gon' Beg You - Fantasia.mp3	#N:\Custom HD787\Ain't Gon' Beg You - Fantasia.cdg
#10224	#2	#8	#2	#Ain't Got Far To Go	#Glynne, Jess	#N:\Custom HD787\Ain't Got Far To Go - Glynne, Jess.mp3	#N:\Custom HD787\Ain't Got Far To Go - Glynne, Jess.cdg
#10225	#2	#8	#2	#Ain't Got Nothin' But The Blues	#Ford, Robben	#N:\Custom HD787\Ain't Got Nothin' But The Blues - Ford, Robben.mp3	#N:\Custom HD787\Ain't Got Nothin' But The Blues - Ford, Robben.cdg
#10226	#2	#8	#2	#Ain't Got Nothin' On Us	#Montgomery, John Michael	#N:\Custom HD787\Ain't Got Nothin' On Us - Montgomery, John Michael.mp3	#N:\Custom HD787\Ain't Got Nothin' On Us - Montgomery, John Michael.cdg
#10227	#2	#8	#2	#Ain't Got Nothing If You Ain't Got Love	#Bolton, Michael	#N:\Custom HD787\Ain't Got Nothing If You Ain't Got Love - Bolton, Michael.mp3	#N:\Custom HD787\Ain't Got Nothing If You Ain't Got Love - Bolton, Michael.cdg
#10228	#2	#8	#2	#Ain't It Fun	#Paramore	#N:\Custom HD787\Ain't It Fun - Paramore.mp3	#N:\Custom HD787\Ain't It Fun - Paramore.cdg
#10229	#2	#8	#2	#Ain't It Funny	#Lopez, Jennifer	#N:\Custom HD787\Ain't It Funny - Lopez, Jennifer.mp3	#N:\Custom HD787\Ain't It Funny - Lopez, Jennifer.cdg
#10230	#2	#8	#2	#Ain't It Funny (Ja Rule Remix)	#Lopez, Jennifer	#N:\Custom HD787\Ain't It Funny (Ja Rule Remix) - Lopez, Jennifer.mp3	#N:\Custom HD787\Ain't It Funny (Ja Rule Remix) - Lopez, Jennifer.cdg
#10231	#2	#8	#2	#Ain't Misbehavin'	#Bruce, Tommy	#N:\Custom HD787\Ain't Misbehavin' - Bruce, Tommy.mp3	#N:\Custom HD787\Ain't Misbehavin' - Bruce, Tommy.cdg
#10232	#2	#8	#2	#Ain't My Fault	#Larsson, Zara	#N:\Custom HD787\Ain't My Fault - Larsson, Zara.mp3	#N:\Custom HD787\Ain't My Fault - Larsson, Zara.cdg
#10233	#2	#8	#2	#Ain't No Doubt	#Nail, Jimmy	#N:\Custom HD787\Ain't No Doubt - Nail, Jimmy.mp3	#N:\Custom HD787\Ain't No Doubt - Nail, Jimmy.cdg
#10234	#2	#8	#2	#Ain't No Grave	#(Spiritual) Robinson, Betty Jean	#N:\Custom HD787\Ain't No Grave - (Spiritual) Robinson, Betty Jean.mp3	#N:\Custom HD787\Ain't No Grave - (Spiritual) Robinson, Betty Jean.cdg
#10235	#2	#8	#2	#Ain't No Mountain High Enough	#(Duet) Gaye, Marvin & Tammi Terrell	#N:\Custom HD787\Ain't No Mountain High Enough - (Duet) Gaye, Marvin & Tammi Terrell.mp3	#N:\Custom HD787\Ain't No Mountain High Enough - (Duet) Gaye, Marvin & Tammi Terrell.cdg
#10236	#2	#8	#2	#Ain't No Mountain High Enough	#(Duet) Hermes House Band	#N:\Custom HD787\Ain't No Mountain High Enough - (Duet) Hermes House Band.mp3	#N:\Custom HD787\Ain't No Mountain High Enough - (Duet) Hermes House Band.cdg
#10237	#2	#8	#2	#Ain't No Other Man	#Aguilera, Christina	#N:\Custom HD787\Ain't No Other Man - Aguilera, Christina.mp3	#N:\Custom HD787\Ain't No Other Man - Aguilera, Christina.cdg
#10238	#2	#8	#2	#Ain't No Stoppin' Us Now	#McFadden & Whitehead	#N:\Custom HD787\Ain't No Stoppin' Us Now - McFadden & Whitehead.mp3	#N:\Custom HD787\Ain't No Stoppin' Us Now - McFadden & Whitehead.cdg
#10239	#2	#8	#2	#Ain't No Sunshine	#Withers, Bill	#N:\Custom HD787\Ain't No Sunshine - Withers, Bill.mp3	#N:\Custom HD787\Ain't No Sunshine - Withers, Bill.cdg
#10240	#2	#8	#2	#Ain't No Way	#Hart, Beth & Joe Bonamassa	#N:\Custom HD787\Ain't No Way - Hart, Beth & Joe Bonamassa.mp3	#N:\Custom HD787\Ain't No Way - Hart, Beth & Joe Bonamassa.cdg
#10241	#2	#8	#2	#Ain't No Way To Treat A Lady	#Reddy, Helen	#N:\Custom HD787\Ain't No Way To Treat A Lady - Reddy, Helen.mp3	#N:\Custom HD787\Ain't No Way To Treat A Lady - Reddy, Helen.cdg
#10242	#2	#8	#2	#Ain't No Woman (Like The One I Got)	#Four Tops, The	#N:\Custom HD787\Ain't No Woman (Like The One I Got) - Four Tops, The.mp3	#N:\Custom HD787\Ain't No Woman (Like The One I Got) - Four Tops, The.cdg
#10243	#2	#8	#2	#Ain't Nobody Gonna Take That From Me	#Raye, Collin	#N:\Custom HD787\Ain't Nobody Gonna Take That From Me - Raye, Collin.mp3	#N:\Custom HD787\Ain't Nobody Gonna Take That From Me - Raye, Collin.cdg
#10244	#2	#8	#2	#Ain't Nobody's Business	#Holiday, Billie	#N:\Custom HD787\Ain't Nobody's Business - Holiday, Billie.mp3	#N:\Custom HD787\Ain't Nobody's Business - Holiday, Billie.cdg
#10245	#2	#8	#2	#Ain't Nobody's Business	#Witherspoon, Jimmy	#N:\Custom HD787\Ain't Nobody's Business - Witherspoon, Jimmy.mp3	#N:\Custom HD787\Ain't Nobody's Business - Witherspoon, Jimmy.cdg
#10246	#2	#8	#2	#Ain't Nothing 'Bout You	#Brooks & Dunn	#N:\Custom HD787\Ain't Nothing 'Bout You - Brooks & Dunn.mp3	#N:\Custom HD787\Ain't Nothing 'Bout You - Brooks & Dunn.cdg
#10247	#2	#8	#2	#Ain't Nothing But A House Party	#Showstoppers, The	#N:\Custom HD787\Ain't Nothing But A House Party - Showstoppers, The.mp3	#N:\Custom HD787\Ain't Nothing But A House Party - Showstoppers, The.cdg
#10248	#2	#8	#2	#Ain't Nothing Like	#Paisley, Brad	#N:\Custom HD787\Ain't Nothing Like - Paisley, Brad.mp3	#N:\Custom HD787\Ain't Nothing Like - Paisley, Brad.cdg
#10249	#2	#8	#2	#Ain't Nothing Like The Real Thing	#(Duet) Gaye, Marvin & Tammi Terrell	#N:\Custom HD787\Ain't Nothing Like The Real Thing - (Duet) Gaye, Marvin & Tammi Terrell.mp3	#N:\Custom HD787\Ain't Nothing Like The Real Thing - (Duet) Gaye, Marvin & Tammi Terrell.cdg
#10250	#2	#8	#2	#Ain't Nothing Wrong	#Houston	#N:\Custom HD787\Ain't Nothing Wrong - Houston.mp3	#N:\Custom HD787\Ain't Nothing Wrong - Houston.cdg
#10251	#2	#8	#2	#Ain't That A Bitch	#Watson, Johnny (Guitar)	#N:\Custom HD787\Ain't That A Bitch - Watson, Johnny (Guitar).mp3	#N:\Custom HD787\Ain't That A Bitch - Watson, Johnny (Guitar).cdg
#10252	#2	#8	#2	#Ain't That A Kick In The Head	#(Duet) Forever Gentlemen (Corneille & Sinclair)	#N:\Custom HD787\Ain't That A Kick In The Head - (Duet) Forever Gentlemen (Corneille & Sinclair).mp3	#N:\Custom HD787\Ain't That A Kick In The Head - (Duet) Forever Gentlemen (Corneille & Sinclair).cdg
#10253	#2	#8	#2	#Ain't That A Kick In The Head	#Martin, Dean	#N:\Custom HD787\Ain't That A Kick In The Head - Martin, Dean.mp3	#N:\Custom HD787\Ain't That A Kick In The Head - Martin, Dean.cdg
#10254	#2	#8	#2	#Ain't That A Shame	#Domino, Fats	#N:\Custom HD787\Ain't That A Shame - Domino, Fats.mp3	#N:\Custom HD787\Ain't That A Shame - Domino, Fats.cdg
#10255	#2	#8	#2	#Ain't That Just The Way	#McNeal, Lutricia	#N:\Custom HD787\Ain't That Just The Way - McNeal, Lutricia.mp3	#N:\Custom HD787\Ain't That Just The Way - McNeal, Lutricia.cdg
#10256	#2	#8	#2	#Ain't That Lovin' You Baby	#Presley, Elvis	#N:\Custom HD787\Ain't That Lovin' You Baby - Presley, Elvis.mp3	#N:\Custom HD787\Ain't That Lovin' You Baby - Presley, Elvis.cdg
#10257	#2	#8	#2	#Ain't That Peculiar	#Gaye, Marvin	#N:\Custom HD787\Ain't That Peculiar - Gaye, Marvin.mp3	#N:\Custom HD787\Ain't That Peculiar - Gaye, Marvin.cdg
#10258	#2	#8	#2	#Ain't That The Way	#Divine Fits	#N:\Custom HD787\Ain't That The Way - Divine Fits.mp3	#N:\Custom HD787\Ain't That The Way - Divine Fits.cdg
#10259	#2	#8	#2	#Ain't Thinkin 'Bout It	#Bow Wow & Chris Brown	#N:\Custom HD787\Ain't Thinkin 'Bout It - Bow Wow & Chris Brown.mp3	#N:\Custom HD787\Ain't Thinkin 'Bout It - Bow Wow & Chris Brown.cdg
#10260	#2	#8	#2	#Ain't Too Proud To Beg	#Temptations, The	#N:\Custom HD787\Ain't Too Proud To Beg - Temptations, The.mp3	#N:\Custom HD787\Ain't Too Proud To Beg - Temptations, The.cdg
#10261	#2	#8	#2	#Ain't Wastin' Time No More	#Allman Brothers Band, The	#N:\Custom HD787\Ain't Wastin' Time No More - Allman Brothers Band, The.mp3	#N:\Custom HD787\Ain't Wastin' Time No More - Allman Brothers Band, The.cdg
#10262	#2	#8	#2	#Ain't Worth The Whiskey	#Swindell, Cole	#N:\Custom HD787\Ain't Worth The Whiskey - Swindell, Cole.mp3	#N:\Custom HD787\Ain't Worth The Whiskey - Swindell, Cole.cdg
#10263	#2	#8	#2	#Ain't Your Mama	#Lopez, Jennifer	#N:\Custom HD787\Ain't Your Mama - Lopez, Jennifer.mp3	#N:\Custom HD787\Ain't Your Mama - Lopez, Jennifer.cdg
#10264	#2	#8	#2	#Air Force Ones	#Nelly	#N:\Custom HD787\Air Force Ones - Nelly.mp3	#N:\Custom HD787\Air Force Ones - Nelly.cdg
#10265	#2	#8	#2	#Air Guitar	#McBusted	#N:\Custom HD787\Air Guitar - McBusted.mp3	#N:\Custom HD787\Air Guitar - McBusted.cdg
#10266	#2	#8	#2	#Air That I Breathe, The	#Hollies, The	#N:\Custom HD787\Air That I Breathe, The - Hollies, The.mp3	#N:\Custom HD787\Air That I Breathe, The - Hollies, The.cdg
#10267	#2	#8	#2	#Air That I Breathe, The	#Simply Red	#N:\Custom HD787\Air That I Breathe, The - Simply Red.mp3	#N:\Custom HD787\Air That I Breathe, The - Simply Red.cdg
#10268	#2	#8	#2	#Airplanes	#B.O.B & Hayley Williams	#N:\Custom HD787\Airplanes - B.O.B & Hayley Williams.mp3	#N:\Custom HD787\Airplanes - B.O.B & Hayley Williams.cdg
#10269	#2	#8	#2	#Airport	#Motors, The	#N:\Custom HD787\Airport - Motors, The.mp3	#N:\Custom HD787\Airport - Motors, The.cdg
#10270	#2	#8	#2	#Al Di La	#Vale, Jerry	#N:\Custom HD787\Al Di La - Vale, Jerry.mp3	#N:\Custom HD787\Al Di La - Vale, Jerry.cdg
#10271	#2	#8	#2	#Al The Stars (Clean)	#Lamar, Kendrick & SZA	#N:\Custom HD787\Al The Stars (Clean) - Lamar, Kendrick & SZA.mp3	#N:\Custom HD787\Al The Stars (Clean) - Lamar, Kendrick & SZA.cdg
#10272	#2	#8	#2	#Alabama Song, The	#Doors, The	#N:\Custom HD787\Alabama Song, The - Doors, The.mp3	#N:\Custom HD787\Alabama Song, The - Doors, The.cdg
#10273	#2	#8	#2	#Alabao	#Iglesias, Enrique	#N:\Custom HD787\Alabao - Iglesias, Enrique.mp3	#N:\Custom HD787\Alabao - Iglesias, Enrique.cdg
#10274	#2	#8	#2	#Alabaster Box (Instrumental)	#(Spiritual) Winans, CeCe	#N:\Custom HD787\Alabaster Box (Instrumental) - (Spiritual) Winans, CeCe.mp3	#N:\Custom HD787\Alabaster Box (Instrumental) - (Spiritual) Winans, CeCe.cdg
#10275	#2	#8	#2	#Alarm	#Anne-Marie	#N:\Custom HD787\Alarm - Anne-Marie.mp3	#N:\Custom HD787\Alarm - Anne-Marie.cdg
#10276	#2	#8	#2	#Alas & Did My Savior Bleed	#(Spiritual)	#N:\Custom HD787\Alas & Did My Savior Bleed - (Spiritual).mp3	#N:\Custom HD787\Alas & Did My Savior Bleed - (Spiritual).cdg
#10277	#2	#8	#2	#Alcohol	#Paisley, Brad	#N:\Custom HD787\Alcohol - Paisley, Brad.mp3	#N:\Custom HD787\Alcohol - Paisley, Brad.cdg
#10278	#2	#8	#2	#Alejandro	#Lady Gaga	#N:\Custom HD787\Alejandro - Lady Gaga.mp3	#N:\Custom HD787\Alejandro - Lady Gaga.cdg
#10279	#2	#8	#2	#Alejate	#(Spiritual) Groban, Josh	#N:\Custom HD787\Alejate - (Spiritual) Groban, Josh.mp3	#N:\Custom HD787\Alejate - (Spiritual) Groban, Josh.cdg
